2026-04-12,2026-04-12.1,2026-04-12.2,2026-04-12.3,2026-04-12.4,2026-04-13,2026-04-13.1,2026-04-13.2,2026-04-13.3,2026-04-14,2026-04-14.1,2026-04-14.2,2026-04-14.3,2026-04-15,2026-04-15.1,2026-04-15.2,2026-04-16,2026-04-16.1,2026-04-16.2,2026-04-16.3,2026-04-17,2026-04-17.1,2026-04-18,2026-04-18.1,2026-04-19,2026-04-19.1,2026-04-20,2026-04-20.1,2026-04-20.2,2026-04-21,2026-04-22,2026-04-22.1,2026-04-23,2026-04-23.1,2026-04-24,2026-04-24.1,2026-04-24.2,2026-04-25,2026-04-26,2026-04-27,2026-04-27.1,2026-04-28,2026-04-28.1,2026-04-29,2026-04-30,2026-04-30.1,2026-05-01,2026-05-01.1,2026-05-02,2026-05-03,2026-05-04,2026-05-05,2026-05-06,2026-05-07,2026-05-08,2026-05-09,2026-05-10,2026-05-11,2026-05-12,2026-05-12.1,2026-05-13,2026-05-14,2026-05-15,2026-05-16,2026-05-17,2026-05-18,2026-05-19,2026-05-20,2026-05-21,2026-05-21.1,2026-05-21.2,2026-05-23,2026-05-24,2026-05-25,2026-05-26,2026-05-26.1,2026-05-27,2026-05-28,2026-05-28.1,2026-05-28.2,2026-05-28.3,2026-05-28.4,2026-05-28.5,2026-05-28.6,2026-05-28.7,2026-05-28.8,2026-05-28.9,2026-05-28.10,2026-05-28.11,2026-05-28.12,2026-05-28.13,2026-05-28.14,2026-05-28.15,2026-05-28
15240,15240,15240,15240,15240,16951,16951,16951,16951,19581,19581,19581,19581,17470,17470,17470,15857,16393,16393,16393,16969,16969,15124,15124,14725,14725,16015,16015,16015,13081,15178,15178,14039,14039,13842,13842,13842,12989,14710,15098,15098,13720,13720,13639,15344,15344,14094,14094,12870,15302,14482,16799,14950,18481,16534,16112,15366,14025,16470,16470,16241,16861,16849,15236,15038,13883,16913,16167,14037,14037,14037,14647,15810,14641,14357,14357,13565,14390,14390,14390,14390,14390,14390,14390,14390,14390,14390,14390,14390,14390,14390,14390,14390,14390
15154,15154,15154,15154,15154,16636,16636,16636,16636,19427,19427,19427,19427,17415,17415,17415,15850,16179,16179,16179,16913,16913,15098,15098,14724,14724,15652,15652,15652,12896,15075,15075,13919,13919,13693,13693,13693,12755,14656,15047,15047,13669,13669,13337,15165,15165,13986,13986,12799,15196,14467,16759,14921,18081,16226,15952,15337,14016,16334,16334,16102,16607,16531,14949,15022,13876,16817,16155,14000,14000,14000,14624,15692,14617,14215,14215,13418,14177,14177,14177,14177,14177,14177,14177,14177,14177,14177,14177,14177,14177,14177,14177,14177,14177
15153,15153,15153,15153,15153,16597,16597,16597,16597,19183,19183,19183,19183,17359,17359,17359,15793,16132,16132,16132,16908,16908,15096,15096,14691,14691,15426,15426,15426,12856,14824,14824,13884,13884,13641,13641,13641,12703,14630,15035,15035,13628,13628,13287,15132,15132,13962,13962,12753,15043,14466,16720,14808,18035,16145,15689,15317,13882,16317,16317,15879,16504,16281,14852,14713,13750,16587,15902,13862,13862,13862,14585,15516,14616,13748,13748,13366,14014,14014,14014,14014,14014,14014,14014,14014,14014,14014,14014,14014,14014,14014,14014,14014,14014
15032,15032,15032,15032,15032,16583,16583,16583,16583,18903,18903,18903,18903,17286,17286,17286,15786,16002,16002,16002,16876,16876,14822,14822,14486,14486,15377,15377,15377,12807,14698,14698,13680,13680,13627,13627,13627,12667,14553,14930,14930,13611,13611,13274,15082,15082,13949,13949,12747,15032,14368,16634,14799,17995,16049,15626,15249,13866,16106,16106,15528,16479,15965,14672,14206,13696,16516,15849,13774,13774,13774,13739,15479,14584,13721,13721,13282,13941,13941,13941,13941,13941,13941,13941,13941,13941,13941,13941,13941,13941,13941,13941,13941,13941
15019,15019,15019,15019,15019,16524,16524,16524,16524,18814,18814,18814,18814,17026,17026,17026,15695,15948,15948,15948,16778,16778,14747,14747,14341,14341,15233,15233,15233,12577,14695,14695,13570,13570,13617,13617,13617,12501,14547,14899,14899,13519,13519,13259,14675,14675,13859,13859,12744,15020,14356,16621,14503,17678,16030,15550,15151,13851,16074,16074,15076,16359,15835,14468,14200,13656,16433,15461,13758,13758,13758,13688,15419,14081,13594,13594,13188,13888,13888,13888,13888,13888,13888,13888,13888,13888,13888,13888,13888,13888,13888,13888,13888,13888
14794,14794,14794,14794,14794,16422,16422,16422,16422,18811,18811,18811,18811,16809,16809,16809,15681,15851,15851,15851,16760,16760,14615,14615,14319,14319,15189,15189,15189,12431,14283,14283,13508,13508,13460,13460,13460,12476,14389,14848,14848,13442,13442,13135,14670,14670,13742,13742,12690,14799,14276,16263,14440,17460,15992,15510,15101,13733,16056,16056,15027,16215,15823,14410,14189,13493,16385,15391,13691,13691,13691,13677,15185,14055,13489,13489,13186,13852,13852,13852,13852,13852,13852,13852,13852,13852,13852,13852,13852,13852,13852,13852,13852,13852
14606,14606,14606,14606,14606,16285,16285,16285,16285,18559,18559,18559,18559,16726,16726,16726,15658,15826,15826,15826,16681,16681,14615,14615,14316,14316,15116,15116,15116,12385,14272,14272,13350,13350,13376,13376,13376,12466,14352,14402,14402,13359,13359,12978,14653,14653,13719,13719,12689,14760,14242,16260,14012,17120,15891,15209,14951,13710,15611,15611,15022,16183,15816,14366,14067,13472,16330,15180,13555,13555,13555,13501,15149,13960,13479,13479,13030,13844,13844,13844,13844,13844,13844,13844,13844,13844,13844,13844,13844,13844,13844,13844,13844,13844
14552,14552,14552,14552,14552,16206,16206,16206,16206,18433,18433,18433,18433,16598,16598,16598,15495,15798,15798,15798,16418,16418,14568,14568,14247,14247,15058,15058,15058,12359,14233,14233,13166,13166,13370,13370,13370,12408,14311,14391,14391,13340,13340,12875,14621,14621,13689,13689,12523,14750,14230,16129,13982,17096,15874,15167,14829,13650,15478,15478,14737,15895,15751,14315,13974,13426,15930,15162,13541,13541,13541,13467,14657,13911,13435,13435,12996,13782,13782,13782,13782,13782,13782,13782,13782,13782,13782,13782,13782,13782,13782,13782,13782,13782
14464,14464,14464,14464,14464,16147,16147,16147,16147,18362,18362,18362,18362,16591,16591,16591,15449,15769,15769,15769,16370,16370,14525,14525,14167,14167,14810,14810,14810,12062,14070,14070,13163,13163,13321,13321,13321,12284,14230,14315,14315,13182,13182,12294,14619,14619,13642,13642,12460,14530,14128,16125,13891,16992,15593,15083,14816,13582,15440,15440,14611,15537,15614,14182,13742,13395,15876,15127,13411,13411,13411,13394,14636,13642,13324,13324,12926,13735,13735,13735,13735,13735,13735,13735,13735,13735,13735,13735,13735,13735,13735,13735,13735,13735
14351,14351,14351,14351,14351,16101,16101,16101,16101,18238,18238,18238,18238,16358,16358,16358,15290,15740,15740,15740,16326,16326,14515,14515,14138,14138,14746,14746,14746,11921,14049,14049,13049,13049,13256,13256,13256,12276,14164,14119,14119,13057,13057,12254,14219,14219,13561,13561,12458,14318,14089,16066,13883,16987,15503,14715,14770,13517,15016,15016,14403,15530,15541,14057,13710,13272,15840,15089,13255,13255,13255,13334,14578,13498,13318,13318,12873,13496,13496,13496,13496,13496,13496,13496,13496,13496,13496,13496,13496,13496,13496,13496,13496,13496
14211,14211,14211,14211,14211,15880,15880,15880,15880,18207,18207,18207,18207,16242,16242,16242,15254,15503,15503,15503,16133,16133,14225,14225,13852,13852,14688,14688,14688,11866,13898,13898,13021,13021,13251,13251,13251,12070,14113,13992,13992,13014,13014,12230,14217,14217,13548,13548,12417,13979,14020,16027,13837,16892,15354,14684,14756,13255,14926,14926,14165,15426,15523,14049,13669,13155,15812,15028,13089,13089,13089,12795,14551,13422,13168,13168,12850,13312,13312,13312,13312,13312,13312,13312,13312,13312,13312,13312,13312,13312,13312,13312,13312,13312
14102,14102,14102,14102,14102,15866,15866,15866,15866,18186,18186,18186,18186,15771,15771,15771,15178,15439,15439,15439,16086,16086,14149,14149,13731,13731,14611,14611,14611,11758,13722,13722,12967,12967,13160,13160,13160,11927,14014,13965,13965,12820,12820,12142,14167,14167,13530,13530,12252,13776,13961,15975,13733,16777,15316,14483,14709,13193,14922,14922,14108,15258,15434,14004,13656,13098,15573,15019,13009,13009,13009,12792,14419,13304,13114,13114,12692,13143,13143,13143,13143,13143,13143,13143,13143,13143,13143,13143,13143,13143,13143,13143,13143,13143
14046,14046,14046,14046,14046,15820,15820,15820,15820,17819,17819,17819,17819,15571,15571,15571,14983,15321,15321,15321,15925,15925,14137,14137,13489,13489,14464,14464,14464,11750,13719,13719,12914,12914,13033,13033,13033,11783,13914,13920,13920,12739,12739,12134,13976,13976,13433,13433,12009,13750,13617,15947,13454,16743,15223,14472,14570,12786,14850,14850,14041,15098,15409,13752,13445,12945,15465,14726,12882,12882,12882,12767,14279,13301,13051,13051,12578,13049,13049,13049,13049,13049,13049,13049,13049,13049,13049,13049,13049,13049,13049,13049,13049,13049
13985,13985,13985,13985,13985,15800,15800,15800,15800,17788,17788,17788,17788,15529,15529,15529,14969,15274,15274,15274,15676,15676,14117,14117,13484,13484,14426,14426,14426,11495,13650,13650,12784,12784,13023,13023,13023,11726,13818,13918,13918,12666,12666,12110,13957,13957,13422,13422,11882,13609,13608,15913,13308,16736,15135,14418,14430,12747,14773,14773,14016,15093,15405,13678,13330,12928,15348,14698,12860,12860,12860,12584,14140,13212,12926,12926,12515,12951,12951,12951,12951,12951,12951,12951,12951,12951,12951,12951,12951,12951,12951,12951,12951,12951
13948,13948,13948,13948,13948,15741,15741,15741,15741,17482,17482,17482,17482,15493,15493,15493,14927,15206,15206,15206,15654,15654,13695,13695,13282,13282,14315,14315,14315,11434,13583,13583,12779,12779,12977,12977,12977,11528,13707,13770,13770,12571,12571,11826,13948,13948,13359,13359,11681,13428,13566,15874,13161,16475,14823,14333,14382,12731,14547,14547,13828,15083,15289,13652,13270,12825,15266,14684,12859,12859,12859,12521,14115,13179,12652,12652,12496,12672,12672,12672,12672,12672,12672,12672,12672,12672,12672,12672,12672,12672,12672,12672,12672,12672
13925,13925,13925,13925,13925,15722,15722,15722,15722,16898,16898,16898,16898,15428,15428,15428,14920,15174,15174,15174,15585,15585,13639,13639,13214,13214,14306,14306,14306,11395,13559,13559,12733,12733,12906,12906,12906,11441,13655,13756,13756,12286,12286,11818,13505,13505,13286,13286,11676,13404,13527,15805,13096,16333,14810,14197,14381,12570,14543,14543,13536,14985,15125,13491,13270,12644,15102,14642,12788,12788,12788,12467,13918,13045,12616,12616,12475,12653,12653,12653,12653,12653,12653,12653,12653,12653,12653,12653,12653,12653,12653,12653,12653,12653
13659,13659,13659,13659,13659,15443,15443,15443,15443,16854,16854,16854,16854,15354,15354,15354,14885,15172,15172,15172,15556,15556,13552,13552,13208,13208,14286,14286,14286,11386,13541,13541,12563,12563,12755,12755,12755,11438,13291,13714,13714,12285,12285,11792,13396,13396,13261,13261,11560,13379,13509,15779,12960,15948,14722,14089,14350,12510,14477,14477,13354,14885,15087,13269,13233,12630,14982,14622,12763,12763,12763,12297,13814,13044,12611,12611,12428,12522,12522,12522,12522,12522,12522,12522,12522,12522,12522,12522,12522,12522,12522,12522,12522,12522
13500,13500,13500,13500,13500,15428,15428,15428,15428,16809,16809,16809,16809,15303,15303,15303,14831,15104,15104,15104,15404,15404,13491,13491,13096,13096,14003,14003,14003,11321,13321,13321,12480,12480,12732,12732,12732,11437,13244,13652,13652,11973,11973,11775,13144,13144,13175,13175,11523,13363,13475,15672,12863,15711,14701,13882,14313,12334,14343,14343,13226,14749,14954,13262,13139,12608,14951,14379,12726,12726,12726,12251,13800,12883,12595,12595,12335,12402,12402,12402,12402,12402,12402,12402,12402,12402,12402,12402,12402,12402,12402,12402,12402,12402
13488,13488,13488,13488,13488,15386,15386,15386,15386,16743,16743,16743,16743,15228,15228,15228,14829,15073,15073,15073,14859,14859,13442,13442,13087,13087,13856,13856,13856,11309,13306,13306,12352,12352,12677,12677,12677,11363,12703,13647,13647,11925,11925,11573,13077,13077,13173,13173,11442,13155,13371,15414,12610,15636,14591,13834,14106,12001,14268,14268,13162,14563,14952,13174,13130,12359,14740,14337,12591,12591,12591,12229,13729,12708,12493,12493,12241,12363,12363,12363,12363,12363,12363,12363,12363,12363,12363,12363,12363,12363,12363,12363,12363,12363
13449,13449,13449,13449,13449,15310,15310,15310,15310,16526,16526,16526,16526,15213,15213,15213,14800,15071,15071,15071,14823,14823,13432,13432,13000,13000,13671,13671,13671,11294,13278,13278,12219,12219,12660,12660,12660,11328,12678,13424,13424,11898,11898,11522,12884,12884,12884,12884,11394,12995,13208,15326,12539,15376,14507,13808,13851,11922,14070,14070,13108,14537,14926,13167,13115,12310,14642,14320,12464,12464,12464,12049,13588,12612,12453,12453,12094,12235,12235,12235,12235,12235,12235,12235,12235,12235,12235,12235,12235,12235,12235,12235,12235,12235
13433,13433,13433,13433,13433,15286,15286,15286,15286,16384,16384,16384,16384,15194,15194,15194,14662,14995,14995,14995,14612,14612,13175,13175,12914,12914,13491,13491,13491,11282,13197,13197,12175,12175,12651,12651,12651,11263,12535,13421,13421,11762,11762,11446,12731,12731,12844,12844,11381,12762,13082,15035,12385,15253,14390,13498,13783,11817,13746,13746,13097,14535,14694,13161,13008,12285,14532,14219,12399,12399,12399,11952,13574,12592,12406,12406,12012,12218,12218,12218,12218,12218,12218,12218,12218,12218,12218,12218,12218,12218,12218,12218,12218,12218
13347,13347,13347,13347,13347,15090,15090,15090,15090,16328,16328,16328,16328,15112,15112,15112,14393,14978,14978,14978,14568,14568,13111,13111,12849,12849,13487,13487,13487,11282,13151,13151,12145,12145,12536,12536,12536,11225,12409,13382,13382,11727,11727,11206,12724,12724,12652,12652,11274,12720,12897,14961,12315,15203,14115,13302,13703,11728,13615,13615,13070,14413,14110,12706,12998,12251,13814,13901,12350,12350,12350,11622,13297,12543,12276,12276,12006,12088,12088,12088,12088,12088,12088,12088,12088,12088,12088,12088,12088,12088,12088,12088,12088,12088
13253,13253,13253,13253,13253,15041,15041,15041,15041,15960,15960,15960,15960,15029,15029,15029,14336,14921,14921,14921,14542,14542,12808,12808,12839,12839,13253,13253,13253,11041,13066,13066,12014,12014,12464,12464,12464,11137,12020,13326,13326,11705,11705,11203,12703,12703,12504,12504,11148,12714,12820,14813,12310,14663,14036,13073,13621,11528,13538,13538,12847,14274,14014,12671,12699,12114,13796,13798,12343,12343,12343,11586,13277,12530,12025,12025,11976,11848,11848,11848,11848,11848,11848,11848,11848,11848,11848,11848,11848,11848,11848,11848,11848,11848
